word,neg,neu,pos,compound,sentiment_cat,sentiment_val
broken,1.0,0.0,0.0,-0.4767,1,very negative
blaming,1.0,0.0,0.0,-0.4939,1,very negative
irritable,1.0,0.0,0.0,-0.4767,1,very negative
sinful,1.0,0.0,0.0,-0.5574,1,very negative
unhappy,1.0,0.0,0.0,-0.4215,1,very negative
contradictious,1.0,0.0,0.0,-0.4404,1,very negative
irritating,1.0,0.0,0.0,-0.4588,1,very negative
contemptuous,1.0,0.0,0.0,-0.4939,1,very negative
sick,1.0,0.0,0.0,-0.5106,1,very negative
mocking,1.0,0.0,0.0,-0.4019,1,very negative
bitter,1.0,0.0,0.0,-0.4215,1,very negative
irritated,1.0,0.0,0.0,-0.4588,1,very negative
masochistic,1.0,0.0,0.0,-0.4939,1,very negative
unethical,1.0,0.0,0.0,-0.5106,1,very negative
vitriolic,1.0,0.0,0.0,-0.4767,1,very negative
acrimonious,1.0,0.0,0.0,-0.4019,1,very negative
disillusioned,1.0,0.0,0.0,-0.4404,1,very negative
pitiless,1.0,0.0,0.0,-0.4215,1,very negative
lowbrow,1.0,0.0,0.0,-0.4404,1,very negative
devilish,1.0,0.0,0.0,-0.4767,1,very negative
tired,1.0,0.0,0.0,-0.4404,1,very negative
destructive,1.0,0.0,0.0,-0.6124,1,very negative
despondent,1.0,0.0,0.0,-0.4767,1,very negative
furious,1.0,0.0,0.0,-0.5719,1,very negative
wicked,1.0,0.0,0.0,-0.5267,1,very negative
despairing,1.0,0.0,0.0,-0.5106,1,very negative
disparaging,1.0,0.0,0.0,-0.4939,1,very negative
unprofessional,1.0,0.0,0.0,-0.5106,1,very negative
frustrating,1.0,0.0,0.0,-0.4404,1,very negative
exasperated,1.0,0.0,0.0,-0.4215,1,very negative
frustrated,1.0,0.0,0.0,-0.5267,1,very negative
deceitful,1.0,0.0,0.0,-0.4404,1,very negative
cheerless,1.0,0.0,0.0,-0.4019,1,very negative
depressed,1.0,0.0,0.0,-0.5106,1,very negative
obnoxious,1.0,0.0,0.0,-0.4588,1,very negative
revengeful,1.0,0.0,0.0,-0.5267,1,very negative
obscene,1.0,0.0,0.0,-0.5859,1,very negative
dishonest,1.0,0.0,0.0,-0.5719,1,very negative
discouraged,1.0,0.0,0.0,-0.4019,1,very negative
discontented,1.0,0.0,0.0,-0.4215,1,very negative
somber,1.0,0.0,0.0,-0.4215,1,very negative
indignant,1.0,0.0,0.0,-0.4215,1,very negative
sad,1.0,0.0,0.0,-0.4767,1,very negative
disappointed,1.0,0.0,0.0,-0.4767,1,very negative
offensive,1.0,0.0,0.0,-0.4588,1,very negative
disagreeable,1.0,0.0,0.0,-0.4019,1,very negative
dirty,1.0,0.0,0.0,-0.4404,1,very negative
abusive,1.0,0.0,0.0,-0.6369,1,very negative
tragic,1.0,0.0,0.0,-0.4588,1,very negative
spiteful,1.0,0.0,0.0,-0.4404,1,very negative
glum,1.0,0.0,0.0,-0.4767,1,very negative
disgusted,1.0,0.0,0.0,-0.5267,1,very negative
disgusting,1.0,0.0,0.0,-0.5267,1,very negative
rude,1.0,0.0,0.0,-0.4588,1,very negative
hopeless,1.0,0.0,0.0,-0.4588,1,very negative
mad,1.0,0.0,0.0,-0.4939,1,very negative
woeful,1.0,0.0,0.0,-0.4404,1,very negative
outraged,1.0,0.0,0.0,-0.5423,1,very negative
savage,1.0,0.0,0.0,-0.4588,1,very negative
heartless,1.0,0.0,0.0,-0.4939,1,very negative
distrustful,1.0,0.0,0.0,-0.4767,1,very negative
weak,1.0,0.0,0.0,-0.4404,1,very negative
antagonizing,1.0,0.0,0.0,-0.5719,1,very negative
dejected,1.0,0.0,0.0,-0.4939,1,very negative
degrading,1.0,0.0,0.0,-0.5859,1,very negative
antagonistic,1.0,0.0,0.0,-0.4019,1,very negative
annoying,1.0,0.0,0.0,-0.4019,1,very negative
poor,1.0,0.0,0.0,-0.4767,1,very negative
threatening,1.0,0.0,0.0,-0.5267,1,very negative
sluttish,1.0,0.0,0.0,-0.4939,1,very negative
insecure,1.0,0.0,0.0,-0.4215,1,very negative
fraudulent,1.0,0.0,0.0,-0.4939,1,very negative
resentful,1.0,0.0,0.0,-0.4767,1,very negative
angry,1.0,0.0,0.0,-0.5106,1,very negative
sluggish,1.0,0.0,0.0,-0.4019,1,very negative
agitated,1.0,0.0,0.0,-0.4588,1,very negative
unsavory,1.0,0.0,0.0,-0.4404,1,very negative
insane,1.0,0.0,0.0,-0.4019,1,very negative
remorseless,1.0,0.0,0.0,-0.5106,1,very negative
grouchy,1.0,0.0,0.0,-0.4404,1,very negative
troublesome,1.0,0.0,0.0,-0.5106,1,very negative
scandalous,1.0,0.0,0.0,-0.5267,1,very negative
troubled,1.0,0.0,0.0,-0.4588,1,very negative
perverted,1.0,0.0,0.0,-0.5423,1,very negative
inconsiderate,1.0,0.0,0.0,-0.4404,1,very negative
retarded,1.0,0.0,0.0,-0.5719,1,very negative
scared,1.0,0.0,0.0,-0.4404,1,very negative
frightened,1.0,0.0,0.0,-0.4404,1,very negative
frightening,1.0,0.0,0.0,-0.4939,1,very negative
evil,1.0,0.0,0.0,-0.6597,1,very negative
insincere,1.0,0.0,0.0,-0.4215,1,very negative
unkind,1.0,0.0,0.0,-0.3818,2,negative
complaining,1.0,0.0,0.0,-0.2023,2,negative
promiscuous,1.0,0.0,0.0,-0.0772,2,negative
complacent,1.0,0.0,0.0,-0.0772,2,negative
possessive,1.0,0.0,0.0,-0.2263,2,negative
luckless,1.0,0.0,0.0,-0.3182,2,negative
cocky,1.0,0.0,0.0,-0.128,2,negative
lonesome,1.0,0.0,0.0,-0.3612,2,negative
humiliating,1.0,0.0,0.0,-0.296,2,negative
lethargic,1.0,0.0,0.0,-0.296,2,negative
tremulous,1.0,0.0,0.0,-0.25,2,negative
childish,1.0,0.0,0.0,-0.296,2,negative
tricky,1.0,0.0,0.0,-0.1531,2,negative
hysterical,1.0,0.0,0.0,-0.0258,2,negative
loose,1.0,0.0,0.0,-0.3182,2,negative
ignorant,1.0,0.0,0.0,-0.2732,2,negative
humiliated,1.0,0.0,0.0,-0.34,2,negative
envious,1.0,0.0,0.0,-0.2732,2,negative
lazy,1.0,0.0,0.0,-0.3612,2,negative
embittered,1.0,0.0,0.0,-0.1027,2,negative
embarrassing,1.0,0.0,0.0,-0.3818,2,negative
longing,1.0,0.0,0.0,-0.0258,2,negative
humorless,1.0,0.0,0.0,-0.3182,2,negative
embarrassed,1.0,0.0,0.0,-0.3612,2,negative
lonely,1.0,0.0,0.0,-0.3612,2,negative
hostile,1.0,0.0,0.0,-0.3818,2,negative
prickly,1.0,0.0,0.0,-0.2263,2,negative
critical,1.0,0.0,0.0,-0.3182,2,negative
egotistical,1.0,0.0,0.0,-0.2263,2,negative
reluctant,1.0,0.0,0.0,-0.25,2,negative
remorseful,1.0,0.0,0.0,-0.2263,2,negative
repressed,1.0,0.0,0.0,-0.3182,2,negative
insensitive,1.0,0.0,0.0,-0.2263,2,negative
defenseless,1.0,0.0,0.0,-0.34,2,negative
uneasy,1.0,0.0,0.0,-0.3818,2,negative
defiant,1.0,0.0,0.0,-0.2263,2,negative
dithering,1.0,0.0,0.0,-0.128,2,negative
resigned,1.0,0.0,0.0,-0.25,2,negative
disturbed,1.0,0.0,0.0,-0.3818,2,negative
distractible,1.0,0.0,0.0,-0.3612,2,negative
restless,1.0,0.0,0.0,-0.2732,2,negative
demanding,1.0,0.0,0.0,-0.2263,2,negative
dissatisfied,1.0,0.0,0.0,-0.3818,2,negative
inhibited,1.0,0.0,0.0,-0.1027,2,negative
disruptive,1.0,0.0,0.0,-0.3182,2,negative
ridiculous,1.0,0.0,0.0,-0.3612,2,negative
depressive,1.0,0.0,0.0,-0.3818,2,negative
rigid,1.0,0.0,0.0,-0.128,2,negative
rigorous,1.0,0.0,0.0,-0.2732,2,negative
disorganized,1.0,0.0,0.0,-0.296,2,negative
detached,1.0,0.0,0.0,-0.128,2,negative
sarcastic,1.0,0.0,0.0,-0.25,2,negative
sappy,1.0,0.0,0.0,-0.25,2,negative
difficult,1.0,0.0,0.0,-0.3612,2,negative
diffident,1.0,0.0,0.0,-0.25,2,negative
indecisive,1.0,0.0,0.0,-0.25,2,negative
uncontrolled,1.0,0.0,0.0,-0.25,2,negative
discourageable,1.0,0.0,0.0,-0.296,2,negative
uncomfortable,1.0,0.0,0.0,-0.3818,2,negative
lackadaisical,1.0,0.0,0.0,-0.3818,2,negative
cynical,1.0,0.0,0.0,-0.3818,2,negative
unclear,1.0,0.0,0.0,-0.25,2,negative
impatient,1.0,0.0,0.0,-0.296,2,negative
impersonal,1.0,0.0,0.0,-0.3182,2,negative
jumpy,1.0,0.0,0.0,-0.25,2,negative
confused,1.0,0.0,0.0,-0.3182,2,negative
confusing,1.0,0.0,0.0,-0.2263,2,negative
unimpressed,1.0,0.0,0.0,-0.34,2,negative
impolite,1.0,0.0,0.0,-0.3818,2,negative
constrained,1.0,0.0,0.0,-0.1027,2,negative
questioning,1.0,0.0,0.0,-0.1027,2,negative
jaded,1.0,0.0,0.0,-0.3818,2,negative
contentious,1.0,0.0,0.0,-0.296,2,negative
contradictory,1.0,0.0,0.0,-0.34,2,negative
unbiased,1.0,0.0,0.0,-0.0258,2,negative
controversial,1.0,0.0,0.0,-0.2023,2,negative
imposing,1.0,0.0,0.0,-0.1027,2,negative
irresolute,1.0,0.0,0.0,-0.34,2,negative
irrational,1.0,0.0,0.0,-0.34,2,negative
dubious,1.0,0.0,0.0,-0.3612,2,negative
dreary,1.0,0.0,0.0,-0.34,2,negative
unfriendly,1.0,0.0,0.0,-0.3612,2,negative
cowardly,1.0,0.0,0.0,-0.3818,2,negative
doubting,1.0,0.0,0.0,-0.34,2,negative
screwy,1.0,0.0,0.0,-0.34,2,negative
crazed,1.0,0.0,0.0,-0.128,2,negative
crazy,1.0,0.0,0.0,-0.34,2,negative
uncertain,1.0,0.0,0.0,-0.296,2,negative
sorry,1.0,0.0,0.0,-0.0772,2,negative
rebellious,1.0,0.0,0.0,-0.296,2,negative
incapable,1.0,0.0,0.0,-0.3818,2,negative
dodgy,1.0,0.0,0.0,-0.2263,2,negative
tough,1.0,0.0,0.0,-0.128,2,negative
indifferent,1.0,0.0,0.0,-0.2023,2,negative
exhaustible,1.0,0.0,0.0,-0.25,2,negative
apathetic,1.0,0.0,0.0,-0.296,2,negative
anxious,1.0,0.0,0.0,-0.25,2,negative
teasing,1.0,0.0,0.0,-0.0772,2,negative
panicky,1.0,0.0,0.0,-0.3612,2,negative
paranoid,1.0,0.0,0.0,-0.25,2,negative
vociferous,1.0,0.0,0.0,-0.2023,2,negative
annoyed,1.0,0.0,0.0,-0.3818,2,negative
noisy,1.0,0.0,0.0,-0.1779,2,negative
greedy,1.0,0.0,0.0,-0.3182,2,negative
vulnerable,1.0,0.0,0.0,-0.2263,2,negative
stingy,1.0,0.0,0.0,-0.3818,2,negative
grave,1.0,0.0,0.0,-0.3818,2,negative
strange,1.0,0.0,0.0,-0.2023,2,negative
bored,1.0,0.0,0.0,-0.2732,2,negative
unsure,1.0,0.0,0.0,-0.25,2,negative
messy,1.0,0.0,0.0,-0.3612,2,negative
stealthy,1.0,0.0,0.0,-0.0258,2,negative
alone,1.0,0.0,0.0,-0.25,2,negative
gullible,1.0,0.0,0.0,-0.3612,2,negative
fatalistic,1.0,0.0,0.0,-0.25,2,negative
weepy,1.0,0.0,0.0,-0.3182,2,negative
weird,1.0,0.0,0.0,-0.1779,2,negative
tense,1.0,0.0,0.0,-0.34,2,negative
unstable,1.0,0.0,0.0,-0.3612,2,negative
melancholic,1.0,0.0,0.0,-0.0772,2,negative
agitative,1.0,0.0,0.0,-0.3182,2,negative
boring,1.0,0.0,0.0,-0.3182,2,negative
ferocious,1.0,0.0,0.0,-0.1027,2,negative
miserly,1.0,0.0,0.0,-0.34,2,negative
neurotic,1.0,0.0,0.0,-0.34,2,negative
foolish,1.0,0.0,0.0,-0.2732,2,negative
foolhardy,1.0,0.0,0.0,-0.34,2,negative
subversive,1.0,0.0,0.0,-0.2263,2,negative
naive,1.0,0.0,0.0,-0.2732,2,negative
submissive,1.0,0.0,0.0,-0.3182,2,negative
sulky,1.0,0.0,0.0,-0.2023,2,negative
upset,1.0,0.0,0.0,-0.3818,2,negative
vague,1.0,0.0,0.0,-0.1027,2,negative
awkward,1.0,0.0,0.0,-0.1531,2,negative
needy,1.0,0.0,0.0,-0.34,2,negative
forgetful,1.0,0.0,0.0,-0.2732,2,negative
suspicious,1.0,0.0,0.0,-0.3612,2,negative
exhausted,1.0,0.0,0.0,-0.3612,2,negative
bashful,1.0,0.0,0.0,-0.0258,2,negative
skeptical,1.0,0.0,0.0,-0.3182,2,negative
hapless,1.0,0.0,0.0,-0.34,2,negative
hard,1.0,0.0,0.0,-0.1027,2,negative
moping,1.0,0.0,0.0,-0.25,2,negative
moody,1.0,0.0,0.0,-0.3612,2,negative
argumentative,1.0,0.0,0.0,-0.3612,2,negative
nervous,1.0,0.0,0.0,-0.2732,2,negative
biased,1.0,0.0,0.0,-0.2732,2,negative
fiery,1.0,0.0,0.0,-0.34,2,negative
vicious,1.0,0.0,0.0,-0.3612,2,negative
fidgety,1.0,0.0,0.0,-0.34,2,negative
bizarre,1.0,0.0,0.0,-0.3182,2,negative
shy,1.0,0.0,0.0,-0.25,2,negative
unsophisticated,1.0,0.0,0.0,-0.296,2,negative
aggressive,1.0,0.0,0.0,-0.1531,2,negative
sneaky,1.0,0.0,0.0,-0.2263,2,negative
obsessive,1.0,0.0,0.0,-0.2263,2,negative
faithless,1.0,0.0,0.0,-0.25,2,negative
pesky,1.0,0.0,0.0,-0.296,2,negative
accusing,1.0,0.0,0.0,-0.1779,2,negative
shaky,1.0,0.0,0.0,-0.2263,2,negative
timorous,1.0,0.0,0.0,-0.2023,2,negative
odd,1.0,0.0,0.0,-0.3182,2,negative
serious,1.0,0.0,0.0,-0.0772,2,negative
timid,1.0,0.0,0.0,-0.25,2,negative
solemn,1.0,0.0,0.0,-0.0772,2,negative
worried,1.0,0.0,0.0,-0.296,2,negative
spiritless,1.0,0.0,0.0,-0.3182,2,negative
worrying,1.0,0.0,0.0,-0.34,2,negative
unsettled,1.0,0.0,0.0,-0.3182,2,negative
careless,1.0,0.0,0.0,-0.3612,2,negative
gloomy,1.0,0.0,0.0,-0.1531,2,negative
thorny,1.0,0.0,0.0,-0.2732,2,negative
persecuting,1.0,0.0,0.0,-0.3612,2,negative
severe,1.0,0.0,0.0,-0.3818,2,negative
pessimistic,1.0,0.0,0.0,-0.3612,2,negative
aggravating,1.0,0.0,0.0,-0.296,2,negative
exhaustive,1.0,0.0,0.0,-0.128,2,negative
snobbish,1.0,0.0,0.0,-0.2263,2,negative
gossipy,1.0,0.0,0.0,-0.3182,2,negative
ominous,1.0,0.0,0.0,-0.34,2,negative
affected,1.0,0.0,0.0,-0.1531,2,negative
maniacal,1.0,0.0,0.0,-0.0772,2,negative
giddy,1.0,0.0,0.0,-0.1531,2,negative
opportunistic,1.0,0.0,0.0,-0.0258,2,negative
shameless,1.0,0.0,0.0,-0.34,2,negative
adversarial,1.0,0.0,0.0,-0.3612,2,negative
cautious,1.0,0.0,0.0,-0.1027,2,negative
obstinate,1.0,0.0,0.0,-0.296,2,negative
hesitant,1.0,0.0,0.0,-0.25,2,negative
petty,1.0,0.0,0.0,-0.2023,2,negative
solicitous,0.0,1.0,0.0,0.0,3,neutral
solitary,0.0,1.0,0.0,0.0,3,neutral
salty,0.0,1.0,0.0,0.0,3,neutral
slinking,0.0,1.0,0.0,0.0,3,neutral
saucy,0.0,1.0,0.0,0.0,3,neutral
scheming,0.0,1.0,0.0,0.0,3,neutral
salacious,0.0,1.0,0.0,0.0,3,neutral
scheduled,0.0,1.0,0.0,0.0,3,neutral
saintly,0.0,1.0,0.0,0.0,3,neutral
slick,0.0,1.0,0.0,0.0,3,neutral
scholarly,0.0,1.0,0.0,0.0,3,neutral
slender,0.0,1.0,0.0,0.0,3,neutral
sage,0.0,1.0,0.0,0.0,3,neutral
scholastic,0.0,1.0,0.0,0.0,3,neutral
scientific,0.0,1.0,0.0,0.0,3,neutral
sleepy,0.0,1.0,0.0,0.0,3,neutral
scoffing,0.0,1.0,0.0,0.0,3,neutral
sleek,0.0,1.0,0.0,0.0,3,neutral
sagacious,0.0,1.0,0.0,0.0,3,neutral
sophomoric,0.0,1.0,0.0,0.0,3,neutral
slim,0.0,1.0,0.0,0.0,3,neutral
salubrious,0.0,1.0,0.0,0.0,3,neutral
slipshod,0.0,1.0,0.0,0.0,3,neutral
scattered,0.0,1.0,0.0,0.0,3,neutral
smooth-spoken,0.0,1.0,0.0,0.0,3,neutral
smutty,0.0,1.0,0.0,0.0,3,neutral
snarling,0.0,1.0,0.0,0.0,3,neutral
sober-minded,0.0,1.0,0.0,0.0,3,neutral
sober,0.0,1.0,0.0,0.0,3,neutral
snooty,0.0,1.0,0.0,0.0,3,neutral
smooth,0.0,1.0,0.0,0.0,3,neutral
scandalmongering,0.0,1.0,0.0,0.0,3,neutral
sneering,0.0,1.0,0.0,0.0,3,neutral
snide,0.0,1.0,0.0,0.0,3,neutral
snoopy,0.0,1.0,0.0,0.0,3,neutral
snippy,0.0,1.0,0.0,0.0,3,neutral
satirical,0.0,1.0,0.0,0.0,3,neutral
sniveling,0.0,1.0,0.0,0.0,3,neutral
scampish,0.0,1.0,0.0,0.0,3,neutral
social,0.0,1.0,0.0,0.0,3,neutral
sly,0.0,1.0,0.0,0.0,3,neutral
soft,0.0,1.0,0.0,0.0,3,neutral
scatterbrained,0.0,1.0,0.0,0.0,3,neutral
saturnine,0.0,1.0,0.0,0.0,3,neutral
sloppy,0.0,1.0,0.0,0.0,3,neutral
slothful,0.0,1.0,0.0,0.0,3,neutral
slovenly,0.0,1.0,0.0,0.0,3,neutral
soldierly,0.0,1.0,0.0,0.0,3,neutral
sanctimonious,0.0,1.0,0.0,0.0,3,neutral
sanguine,0.0,1.0,0.0,0.0,3,neutral
slow,0.0,1.0,0.0,0.0,3,neutral
soft-spoken,0.0,1.0,0.0,0.0,3,neutral
soft-shelled,0.0,1.0,0.0,0.0,3,neutral
sardonic,0.0,1.0,0.0,0.0,3,neutral
slow-witted,0.0,1.0,0.0,0.0,3,neutral
soft-hearted,0.0,1.0,0.0,0.0,3,neutral
sassy,0.0,1.0,0.0,0.0,3,neutral
slippery,0.0,1.0,0.0,0.0,3,neutral
scowling,0.0,1.0,0.0,0.0,3,neutral
seething,0.0,1.0,0.0,0.0,3,neutral
sleazy,0.0,1.0,0.0,0.0,3,neutral
self-punishing,0.0,1.0,0.0,0.0,3,neutral
shady,0.0,1.0,0.0,0.0,3,neutral
self-possessed,0.0,1.0,0.0,0.0,3,neutral
self-pitying,0.0,1.0,0.0,0.0,3,neutral
self-loathing,0.0,1.0,0.0,0.0,3,neutral
self-limiting,0.0,1.0,0.0,0.0,3,neutral
selfless,0.0,1.0,0.0,0.0,3,neutral
shallow,0.0,1.0,0.0,0.0,3,neutral
sharp-tongued,0.0,1.0,0.0,0.0,3,neutral
self-involved,0.0,1.0,0.0,0.0,3,neutral
self-reflective,0.0,1.0,0.0,0.0,3,neutral
self-interested,0.0,1.0,0.0,0.0,3,neutral
self-indulgent,0.0,1.0,0.0,0.0,3,neutral
self-important,0.0,1.0,0.0,0.0,3,neutral
sheepish,0.0,1.0,0.0,0.0,3,neutral
self-expressive,0.0,1.0,0.0,0.0,3,neutral
self-excusing,0.0,1.0,0.0,0.0,3,neutral
self-examining,0.0,1.0,0.0,0.0,3,neutral
self-effacing,0.0,1.0,0.0,0.0,3,neutral
shiftless,0.0,1.0,0.0,0.0,3,neutral
self-educated,0.0,1.0,0.0,0.0,3,neutral
self-doubting,0.0,1.0,0.0,0.0,3,neutral
sharp-witted,0.0,1.0,0.0,0.0,3,neutral
self-regulating,0.0,1.0,0.0,0.0,3,neutral
sexless,0.0,1.0,0.0,0.0,3,neutral
self-reliant,0.0,1.0,0.0,0.0,3,neutral
self-willed,0.0,1.0,0.0,0.0,3,neutral
self-supporting,0.0,1.0,0.0,0.0,3,neutral
senile,0.0,1.0,0.0,0.0,3,neutral
sensation-seeking,0.0,1.0,0.0,0.0,3,neutral
self-sufficient,0.0,1.0,0.0,0.0,3,neutral
senseless,0.0,1.0,0.0,0.0,3,neutral
sensible,0.0,1.0,0.0,0.0,3,neutral
self-seeking,0.0,1.0,0.0,0.0,3,neutral
sensing,0.0,1.0,0.0,0.0,3,neutral
self-satisfied,0.0,1.0,0.0,0.0,3,neutral
sensitive,0.0,1.0,0.0,0.0,3,neutral
self-sacrificing,0.0,1.0,0.0,0.0,3,neutral
sensual,0.0,1.0,0.0,0.0,3,neutral
self-righteous,0.0,1.0,0.0,0.0,3,neutral
sensuous,0.0,1.0,0.0,0.0,3,neutral
sententious,0.0,1.0,0.0,0.0,3,neutral
self-revealing,0.0,1.0,0.0,0.0,3,neutral
serious-minded,0.0,1.0,0.0,0.0,3,neutral
self-restrained,0.0,1.0,0.0,0.0,3,neutral
self-respecting,0.0,1.0,0.0,0.0,3,neutral
serpentine,0.0,1.0,0.0,0.0,3,neutral
servile,0.0,1.0,0.0,0.0,3,neutral
self-reproachful,0.0,1.0,0.0,0.0,3,neutral
self-disparaging,0.0,1.0,0.0,0.0,3,neutral
scrappy,0.0,1.0,0.0,0.0,3,neutral
short,0.0,1.0,0.0,0.0,3,neutral
self-disciplined,0.0,1.0,0.0,0.0,3,neutral
sickly,0.0,1.0,0.0,0.0,3,neutral
silent,0.0,1.0,0.0,0.0,3,neutral
simple,0.0,1.0,0.0,0.0,3,neutral
simpleminded,0.0,1.0,0.0,0.0,3,neutral
single-minded,0.0,1.0,0.0,0.0,3,neutral
sisterly,0.0,1.0,0.0,0.0,3,neutral
seedy,0.0,1.0,0.0,0.0,3,neutral
sketchy,0.0,1.0,0.0,0.0,3,neutral
skilled,0.0,1.0,0.0,0.0,3,neutral
skillful,0.0,1.0,0.0,0.0,3,neutral
selective,0.0,1.0,0.0,0.0,3,neutral
seductive,0.0,1.0,0.0,0.0,3,neutral
skittish,0.0,1.0,0.0,0.0,3,neutral
sedentary,0.0,1.0,0.0,0.0,3,neutral
sedate,0.0,1.0,0.0,0.0,3,neutral
secretive,0.0,1.0,0.0,0.0,3,neutral
seclusive,0.0,1.0,0.0,0.0,3,neutral
slanderous,0.0,1.0,0.0,0.0,3,neutral
scrupulous,0.0,1.0,0.0,0.0,3,neutral
scrounging,0.0,1.0,0.0,0.0,3,neutral
slapdash,0.0,1.0,0.0,0.0,3,neutral
slavish,0.0,1.0,0.0,0.0,3,neutral
skinny,0.0,1.0,0.0,0.0,3,neutral
shrinking,0.0,1.0,0.0,0.0,3,neutral
self-absorbed,0.0,1.0,0.0,0.0,3,neutral
self-actualized,0.0,1.0,0.0,0.0,3,neutral
short-spoken,0.0,1.0,0.0,0.0,3,neutral
self-destructive,0.0,1.0,0.0,0.0,3,neutral
self-deprecating,0.0,1.0,0.0,0.0,3,neutral
self-denying,0.0,1.0,0.0,0.0,3,neutral
self-deluding,0.0,1.0,0.0,0.0,3,neutral
self-defensive,0.0,1.0,0.0,0.0,3,neutral
self-defeating,0.0,1.0,0.0,0.0,3,neutral
self-deceiving,0.0,1.0,0.0,0.0,3,neutral
self-critical,0.0,1.0,0.0,0.0,3,neutral
self-correcting,0.0,1.0,0.0,0.0,3,neutral
self-controlled,0.0,1.0,0.0,0.0,3,neutral
short-tempered,0.0,1.0,0.0,0.0,3,neutral
self-contained,0.0,1.0,0.0,0.0,3,neutral
showy,0.0,1.0,0.0,0.0,3,neutral
